track,sample,hours,lat,lon,pressure
41,3.0,264,12.01,-148.37,1005.9
41,3.0,270,12.24,-150.22,1006.3
41,3.0,276,12.96,-149.8,1003.9
41,3.0,282,13.48,-150.49,1002.3
41,3.0,288,13.64,-151.65,1001.5
41,3.0,294,13.79,-152.12,996.9
41,3.0,300,14.0,-152.94,988.3
41,3.0,306,14.14,-153.52,972.3
41,3.0,312,14.42,-153.41,994.9
AL912025,3.0,0,11.7,-36.0,1011.0
EP112025,3.0,0,14.3,-137.3,958.0
EP112025,3.0,6,14.76,-138.54,968.2
EP112025,3.0,12,15.21,-139.49,963.7
EP112025,3.0,18,15.27,-140.28,966.3
EP112025,3.0,24,15.79,-140.84,989.6
EP112025,3.0,30,16.38,-142.12,981.0
EP112025,3.0,36,16.78,-143.25,979.4
EP112025,3.0,42,17.4,-144.25,984.3
EP112025,3.0,48,18.02,-145.39,976.0
EP112025,3.0,54,18.86,-146.42,983.8
EP112025,3.0,60,19.21,-148.03,994.3
EP112025,3.0,66,20.2,-149.09,994.8
EP112025,3.0,72,20.76,-149.96,994.8
EP112025,3.0,78,21.27,-151.5,1002.6
EP112025,3.0,84,21.93,-152.5,1005.7
EP112025,3.0,90,22.5,-154.1,1006.5
EP112025,3.0,96,23.05,-155.78,1007.7
EP112025,3.0,102,23.64,-157.26,1005.7
EP112025,3.0,108,23.94,-158.8,1007.4
EP112025,3.0,114,24.46,-160.19,1006.7
EP112025,3.0,120,24.75,-161.18,1008.0
EP112025,3.0,126,25.26,-161.85,1008.0
EP112025,3.0,132,25.47,-163.71,1006.9
EP112025,3.0,138,25.57,-165.26,1006.8
EP112025,3.0,144,25.56,-167.21,1008.6
EP112025,3.0,150,25.45,-169.22,1003.3
EP112025,3.0,156,25.04,-171.09,1007.8
EP112025,3.0,162,25.2,-172.66,1006.1
EP112025,3.0,168,24.93,-174.25,1008.2
EP112025,3.0,174,24.49,-175.61,1000.5
EP112025,3.0,180,24.73,-176.93,1000.2
EP112025,3.0,186,24.9,-178.28,996.0
EP112025,3.0,192,25.07,-179.68,996.5
EP112025,3.0,198,25.21,178.87,989.5
EP112025,3.0,204,25.47,177.57,986.7
EP112025,3.0,210,25.56,175.88,971.8
EP112025,3.0,216,26.21,174.62,973.9
EP112025,3.0,222,26.03,173.09,968.1
EP112025,3.0,228,26.1,171.43,968.0
EP112025,3.0,234,26.29,169.93,974.5
EP112025,3.0,240,26.11,168.81,979.6
EP112025,3.0,246,26.36,167.38,974.7
EP112025,3.0,252,26.51,166.72,980.4
EP112025,3.0,258,26.75,165.91,964.5
EP112025,3.0,264,27.05,165.34,961.5
EP112025,3.0,270,27.47,165.04,964.3
EP112025,3.0,276,28.0,164.55,969.2
EP112025,3.0,282,28.71,164.02,972.7
EP112025,3.0,288,29.36,163.31,974.1
EP112025,3.0,294,30.12,163.02,981.4
EP112025,3.0,300,30.93,162.72,981.3
EP112025,3.0,306,32.04,162.81,980.0
EP112025,3.0,312,33.5,163.09,975.3
23,4.0,144,15.3,-101.95,1007.7
23,4.0,150,16.62,-107.71,1007.0
23,4.0,156,16.97,-106.61,1004.3
23,4.0,162,16.79,-103.4,1001.4
23,4.0,168,16.97,-103.77,1000.5
23,4.0,174,17.37,-104.78,999.7
23,4.0,180,17.34,-105.99,994.3
23,4.0,186,18.68,-106.04,998.9
23,4.0,192,19.55,-106.43,1003.2
23,4.0,198,19.82,-107.12,994.5
23,4.0,204,20.7,-107.54,1001.0
23,4.0,210,21.26,-107.75,994.4
23,4.0,216,21.59,-107.96,1000.9
23,4.0,222,21.87,-108.23,990.4
23,4.0,228,22.15,-108.65,994.8
23,4.0,234,22.71,-108.69,988.5
23,4.0,240,24.62,-110.53,987.5
23,4.0,246,24.54,-109.73,983.0
23,4.0,252,25.43,-110.9,991.6
23,4.0,258,26.69,-111.77,994.9
23,4.0,264,27.43,-112.96,1001.1
23,4.0,270,28.33,-113.67,1003.1
23,4.0,276,28.77,-115.0,1003.2
23,4.0,282,29.24,-114.97,1003.1
26,4.0,162,15.56,-108.9,1004.7
26,4.0,168,16.98,-104.08,1000.5
26,4.0,174,17.54,-104.61,999.7
26,4.0,180,17.34,-105.99,994.3
26,4.0,186,18.68,-106.04,998.9
26,4.0,192,19.55,-106.43,1003.2
26,4.0,198,19.82,-107.12,994.5
26,4.0,204,20.7,-107.54,1001.0
26,4.0,210,21.26,-107.75,994.4
26,4.0,216,21.59,-107.96,1000.9
26,4.0,222,21.87,-108.23,990.4
